,products,periods,function_type,problem_size,solve_time,total_cost,total_emissions
0,5,12,linear,60,0.046430110931396484,723696.2703691159,5540.447062641361
1,5,12,quadratic,60,0.07043743133544922,820836.1053325164,10790.130318980657
2,5,12,exponential,60,0.07833123207092285,636840.8035751557,359.7122352495488
3,5,12,logarithmic,60,0.07513308525085449,668936.2323807131,2277.5558368933716
4,10,24,linear,240,0.15391993522644043,3065092.068825338,28981.71174473358
5,10,24,quadratic,240,0.28125762939453125,3220556.674646314,37946.75927096264
6,10,24,exponential,240,0.3080868721008301,2603576.604237261,1214.3096332393557
7,10,24,logarithmic,240,0.3799307346343994,2721552.7384598884,8347.576773073542
8,15,36,linear,540,0.36362433433532715,6716393.656531717,50744.19153415812
9,15,36,quadratic,540,1.3298954963684082,7536801.426888897,99050.44285611257
10,15,36,exponential,540,1.391822099685669,5973757.651004305,6481.007682679108
11,15,36,logarithmic,540,1.0907042026519775,6192909.94731832,19500.51651497407
12,20,48,linear,960,1.1028447151184082,12939106.647855988,108066.79078250527
13,20,48,quadratic,960,2.2097198963165283,13953435.179731317,168761.52066222904
14,20,48,exponential,960,2.0931804180145264,11396013.086859237,16008.909727493608
15,20,48,logarithmic,960,1.6096117496490479,11647398.783857195,30884.93579580778
