,parameter,value,total_cost,total_emissions,service_level
0,capacity,150.0,0.0,0.0,0.0
1,capacity,200.0,933694.3390797953,9702.014551250742,0.9684663988372765
2,capacity,250.0,935269.8574254214,9800.025586239488,0.9684663988372765
3,capacity,300.0,936440.4356856451,9849.654663413783,0.9680301183939254
4,backorder_cost,150.0,923923.3016493499,9651.363482081957,0.9610007576722112
5,backorder_cost,200.0,935269.8574254214,9800.025586239488,0.9684663988372765
6,backorder_cost,250.0,944956.584905499,9887.919158492097,0.972358952567927
7,backorder_cost,300.0,952278.403941799,10260.982909870465,0.9853450180267174
8,emission_alpha,0.1,924624.0830463592,9179.010777845804,0.9689626189658324
9,emission_alpha,0.2,958324.0333352184,11174.799858430662,0.9684663988372765
10,emission_alpha,0.3,991952.0828702976,13124.46749118501,0.9670388176735695
11,emission_alpha,0.4,1025492.8418390846,15034.875067650693,0.9636771410535263
12,emission_beta,0.01,1221424.6699319044,26738.01983273789,0.9607816246499595
13,emission_beta,0.02,1622798.266660612,50868.24288188937,0.9607816246499595
14,emission_beta,0.03,2024171.8633893204,74998.46593104082,0.9607816246499595
15,emission_beta,0.04,2425545.4601180274,99128.6889801923,0.9607816246499595
